sample_id,vol_input,ACTB,CAPN6,HSD3B1,PSG7,S100A8,PKHD1L1,TBC1D15,RGS18,HAL,BPI,KRT8,CD180,OAZ1,CGA,HSPB8,VGLL1,S100A9,APLF,DGCR14,AVPR1A,ITIH2,CD24,MPO,ENAH,GAPDH,CGB,LGALS14,ANXA3,S100P,CPVL,DAPP1,TFIP11,KNG1,CEACAM6,NFATC1,SAMD9,CYP3A7,CSH1,PAPPA,CAMP,RAB27B,MMD,MOB1B,VCAN,OTC,CEACAM8,NFATC2,DCX ,FSTL3,CSH2,PLAC1,DEFA4,RAP1GAP,KLF9,PPBP,FABP1,SERPINA7,DEFA3,CNOT7,FRZB,SLC2A2,CSHL1,PLAC4,LTF,FAM212B-AS1,P2RY12,RPL23AP7,FGA,SLC4A1,ELANE,CD2,GNAZ,ADAM12,GH2,PSG1,MMP8,LYPLAL1,RAB11A,MAP3K7CL,FGB,ARG1,HMGB3,CD5,MEF2C,ALPP,HSD17B1,PSG4,PGLYRP1,FRMD4B,CLCN3,POLE2,SLC38A4,EPB42,HMGN2,CD160,PTGER3
NTC1,1ul,23.67469373,999,999,999,16.08706702,999,26.07631374,23.32015707,999,999,21.1472293,999,26.29013623,999,999,24.65229764,23.5110334,999,999,26.8003296,999,999,999,999,23.90045127,999,999,999,20.68224247,15.91590175,25.94976415,999,20.62120859,999,999,999,999,22.02492825,999,23.88929721,26.73668979,28.85967484,18.83586504,27.92986972,999,39.66852411,999,43.29795083,999,31.97207639,999,999,999,999,18.23955954,999,999,41.49156003,999,999,999,20.09494088,26.5890129,999,999,999,28.74544187,29.43893747,999,999,999,999,999,999,999,999,999,24.31934298,26.64168572,41.52928427,36.97206049,999,21.95135877,999,999,999,999,23.30420231,26.84418301,24.97209576,23.26836857,999,999,999,999,999
NTC2,1ul,21.3071997,999,999,26.24352095,15.25356769,25.62886993,25.76461595,21.56431734,999,999,999,999,21.33933385,999,999,999,20.03323222,26.79676868,999,999,999,999,999,999,22.62445592,999,26.57815715,999,19.92368459,15.93834171,23.90742234,999,21.15933779,22.2759646,999,999,999,999,999,25.90066373,23.55298969,23.66265817,19.30739281,21.39628699,999,41.3022288,26.04805023,24.02586621,999,24.42366078,999,999,999,999,17.81611573,999,999,21.36457653,26.7591315,999,999,21.48370739,29.35464299,26.9103631,999,25.78119161,25.35764223,999,999,999,999,999,999,999,999,999,999,23.79132144,19.98456193,999,999,999,999,999,999,999,999,24.21708062,43.96007729,26.75974808,23.62520756,999,999,999,999,999
NTC3,1ul,999,999,999,999,15.56154502,999,26.48588209,31.78039915,999,999,999,999,999,999,999,35.23001803,999,999,999,999,999,25.79328646,20.15147673,999,31.25521917,999,36.14639763,999,999,16.12063157,999,999,18.72791462,25.38078924,999,999,43.9601745,20.03209229,36.78473594,999,999,999,20.28001313,999,999,42.32030029,999,22.18729935,999,27.7935507,999,999,999,999,999,999,999,999,999,20.5922923,999,21.79975401,32.38749939,999,999,999,29.67711077,36.32346326,999,999,999,999,999,999,999,999,999,999,999,24.58261821,999,999,999,999,999,999,999,20.0905926,999,25.05604411,23.45843204,999,999,999,999,999
NTC4,1ul,999,999,999,25.32188652,15.4744646,999,26.472383,999,999,35.29636516,999,999,999,999,999,999,999,999,999,999,999,999,40.14592344,999,28.30530426,999,999,999,999,15.90505418,999,999,27.20583573,999,999,999,999,999,999,999,999,999,23.24466883,999,999,41.49104871,999,999,999,26.46144717,999,999,999,999,999,30.35739448,999,999,999,20.89778751,999,20.68879965,28.05213209,999,999,999,32.75928995,999,999,999,999,999,999,30.35121446,999,999,999,999,22.55231756,999,999,999,999,34.65996727,999,999,999,23.05218066,999,21.21196418,24.64726797,999,999,27.10736904,999,999
NTC5,1ul,999,999,999,999,14.88676678,999,24.86533535,999,999,999,999,999,999,999,999,27.48301395,999,999,999,999,999,999,19.87182976,999,21.29057596,999,999,999,999,15.36608044,999,999,26.689242,42.94145597,999,999,27.16071954,999,999,999,999,999,19.75097614,999,999,41.80154443,999,999,999,26.39775693,999,999,999,999,999,999,999,999,999,999,999,21.59893147,27.43293489,30.36909878,999,999,38.41188918,43.00193987,999,999,999,21.09939418,999,999,39.41637549,999,999,999,999,999,999,41.44185664,999,999,999,999,999,23.73000983,999,999,24.25120828,999,999,999,999,999
NTC6,1ul,999,999,37.21743376,42.66723224,15.66223694,35.97674503,25.21299343,999,22.50313146,999,999,999,999,27.50781836,999,999,999,999,999,34.54146982,999,999,999,999,999,999,999,999,36.35275673,16.07082459,999,999,20.88374959,999,999,999,999,999,40.73161724,999,999,999,20.68532846,35.11433062,999,34.84821129,999,999,22.59625646,27.23736752,999,999,999,999,999,999,999,999,999,999,999,19.22318222,28.2687915,999,999,37.91076853,30.55388788,40.22651296,999,999,999,999,999,999,999,999,999,30.38332949,999,22.9753827,999,999,999,999,999,999,999,23.67973866,999,999,23.57760782,999,999,999,999,999
NTC7,1ul,20.92385931,999,999,41.24021515,15.65688076,26.5901757,27.09608033,20.22832708,999,26.53460701,999,999,22.3655044,27.32100598,999,39.18523164,19.25918503,24.25612889,999,999,999,999,999,999,20.67577704,999,999,999,24.94719048,15.83881943,23.1045132,999,19.0876879,27.44617002,999,999,999,21.56637205,41.80336875,26.09848439,22.58107941,23.81917887,18.32568456,999,999,999,26.73185331,999,999,24.99941729,999,25.2109194,999,999,17.46925208,21.09191791,999,20.56546227,999,999,999,20.39959471,43.5346192,26.76492405,999,24.92701521,27.13329082,999,999,999,999,25.92982495,999,999,999,999,26.13833997,23.03180036,23.55078184,22.59283516,999,999,999,999,999,999,999,23.75913301,24.60322681,24.4720394,24.00313248,999,999,999,999,999
NTC8,1ul,999,999,999,41.7563134,15.47183509,999,26.47558528,30.09690328,999,999,21.41261072,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,15.79907343,999,999,20.58156706,999,999,999,999,999,33.87392244,999,999,999,21.57887991,999,999,38.38189628,999,999,999,26.22923788,999,999,999,999,999,999,999,999,999,20.7972166,999,18.92687004,29.69091178,42.12060028,41.28340142,999,33.62965101,39.29063568,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,23.48877645,999,999,23.31079229,999,999,999,999,999
NTC9,1ul,999,999,999,37.82612721,17.02375476,999,26.458145,30.27508306,999,999,999,999,999,999,999,38.61164105,999,999,999,43.96963507,999,999,999,999,22.77887883,999,999,999,34.74600925,17.82422818,999,999,19.56681824,999,999,999,999,999,999,999,999,999,20.40450562,999,999,999,999,999,999,25.08043983,999,999,999,999,999,21.509604,999,999,999,25.72939473,999,19.02500178,27.41755452,999,999,999,36.17408159,36.53757169,22.12480132,999,999,999,999,999,999,999,999,27.19670647,999,999,999,999,22.47211292,999,999,999,999,24.39413289,999,999,23.04990066,999,999,999,999,999
NTC10,1ul,999,999,999,999,16.3628776,999,26.18762537,30.27505956,999,999,25.66350209,999,999,999,999,999,999,999,999,999,999,999,20.68395827,999,22.36376956,999,38.13595115,999,999,17.07962699,999,999,27.34726331,999,999,999,999,20.47351391,999,999,999,999,19.46301409,25.42223018,999,999,999,999,999,25.57837088,999,999,999,999,999,21.78318851,999,30.32692826,999,27.09846188,999,20.32038571,26.1060271,999,999,999,39.61547593,29.96835696,999,999,29.13049001,999,999,999,999,999,999,36.11093612,999,999,999,23.44582138,23.22902258,39.15165906,999,999,999,24.67103037,999,999,24.06373951,999,999,999,999,999
NTC11,1ul,999,999,999,999,16.22728057,999,24.59204938,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,39.88935729,999,999,999,33.86766632,999,999,16.96477533,999,999,20.31647613,999,999,999,999,999,999,999,999,999,20.04776446,26.58403779,999,999,999,999,999,25.60345004,999,999,999,999,999,21.73420402,999,999,999,21.00333375,999,20.00882062,29.28471732,999,999,999,38.26371493,38.40899447,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,41.66169153,999,999,999,24.70356899,999,999,27.48369476,999,999,999,999,999
