sample_id,cohort,sample_number,vol_input,dilution,ACTB,CAPN6,HSD3B1,PSG7,S100A8,PKHD1L1,TBC1D15,RGS18,BPI,KRT8,CD180,OAZ1,CGA,HSPB8,VGLL1,S100A9,APLF,DGCR14,AVPR1A,CD24,MPO,ENAH,GAPDH,CGB,LGALS14,ANXA3,S100P,CPVL,DAPP1,TFIP11,CEACAM6,NFATC1,SAMD9,CYP3A7,CSH1,PAPPA,CAMP,RAB27B,MMD,MOB1B,VCAN,CEACAM8,NFATC2,FSTL3,CSH2,PLAC1,DEFA4,RAP1GAP,KLF9,PPBP,DEFA3,CNOT7,SLC2A2,CSHL1,PLAC4,LTF,FAM212B-AS1,P2RY12,RPL23AP7,ELANE,CD2,ADAM12,GH2,PSG1,MMP8,LYPLAL1,RAB11A,MAP3K7CL,HMGB3,CD5,ALPP,HSD17B1,PSG4,PGLYRP1,FRMD4B,CLCN3,POLE2,HMGN2,CD160
PT_Penn_10,PT_Penn,10,2,5,6.161929509,17.0030837,14.19320186,12.85402964,5.093352946,9.970280982,9.872718412,4.544952819,10.99372173,14.52842164,11.85381363,5.893295122,10.8254024,17.21518907,17.47307108,4.719257023,8.887890804,14.85540204,13.68842765,15.208611,14.8276459,14.04577606,5.786843918,17.82662413,14.10283958,18.70382235,10.26711129,13.6577928,7.272705728,13.13256648,13.7934031,12.565009,11.26862616,17.1381244,14.27119797,16.63676041,10.91504279,7.301666383,7.190010399,8.619230393,10.24127157,14.32720628,11.26034332,22.85802741,9.16991181,999,10.16169099,17.54212645,12.92749218,2.5,6.21644126,11.12578099,999,13.18647161,10.8225048,12.49676813,14.63167454,8.201695617,10.48781655,14.38893447,11.91720431,15.55863297,14.98936185,13.03384002,12.582804,9.34762736,7.982278862,6.942541802,12.09385713,14.26514885,18.38198325,16.74621911,15.98556675,12.91113396,8.906490262,8.305977135,13.63379945,13.09447519,14.88864957
PT_Penn_10,PT_Penn,10,2,10,6.550802324,17.98467368,14.67898294,13.51637174,5.525395837,10.59941836,10.39826216,4.89967137,11.59415542,15.1743639,12.46365163,6.252581268,11.34180237,17.57211823,17.82663573,5.200598572,9.331479257,15.60569744,14.06000393,15.7189252,15.18081759,14.49958304,6.348806309,18.61482921,14.62552504,19.58932809,10.85128475,14.25461698,7.765059779,13.63937706,14.41971037,13.02757881,11.83527562,18.38678556,14.69560259,17.37280648,11.33006334,7.782038513,7.588515151,9.264858645,10.56959239,14.75744474,11.83289265,999,9.589873924,999,10.64419418,17.99115147,13.38712784,2.989069595,6.551795956,11.61307708,999,13.6789247,11.19746472,12.95999173,15.24988099,8.544728819,11.01148483,15.01763825,12.33095866,15.73822516,15.95627389,13.43399216,13.0535842,9.886126945,8.690846257,7.39444085,12.58872298,14.55776416,18.87428413,16.97563085,16.53415008,13.37760509,9.508232947,8.790795779,14.1238261,13.60072764,15.31740391
PT_Penn_10,PT_Penn,10,2,20,7.211307658,18.57444268,15.28889868,14.087289,6.182416598,11.11728513,10.8645365,5.512096328,12.08789378,15.21529092,13.05267563,6.809647871,11.86328738,18.62441917,18.71304698,5.747090783,9.850323008,16.25416615,14.75133005,16.49519425,16.14632091,15.37057527,6.754063377,19.32541465,15.32266529,19.94347429,11.33292457,14.61468707,8.303374612,14.32516778,15.04838379,13.69840443,12.25938245,18.14857065,15.46780572,17.85625971,11.98302659,8.227774021,8.136145876,9.732683443,11.29256816,15.46168059,12.25416264,999,10.22284249,999,11.21286453,18.94260632,14.08198124,2.5,7.196621037,12.12952479,999,14.42446898,11.60667246,13.62476123,15.74562411,9.074500458,11.55781081,15.89321167,13.01707888,16.77917416,16.45294346,14.19661657,13.65433047,10.37146856,9.037753545,8.008859106,13.22018474,15.36497182,19.28768042,17.59251534,17.32028765,13.90679659,10.02654838,9.269218417,14.58051212,13.96031927,15.90001693
PT_Penn_12,PT_Penn,12,2,5,8.39248913,15.11151758,15.00836987,13.64737568,6.782411205,14.34366185,11.76038608,6.785837331,13.77698988,16.71246929,14.30614793,8.369162335,11.50404009,18.2043295,18.07085077,6.356637986,12.18971492,17.70907473,17.30617971,16.55816557,15.71760256,14.35368609,7.987544174,17.33070501,14.73987045,21.29807767,10.91502592,16.95490921,9.967370903,16.10815269,15.46376157,15.4738996,12.2116871,20.18972369,15.79302663,19.30874309,13.56961328,10.4044122,10.48098169,11.14746487,14.57637627,15.3738029,12.31694385,999,10.4764272,999,11.82872849,999,15.50963443,4.271839191,7.63691239,12.16849175,999,13.9867329,11.2277849,15.57517453,17.91265991,11.57871141,12.22622969,17.74902395,12.68830714,999,18.52752384,14.8223256,14.78224265,12.10996862,10.69537257,9.193282392,13.75953308,14.88301102,999,999,19.55729583,14.41906715,11.37852265,11.58719818,15.09374917,15.62437471,16.27643198
PT_Penn_12,PT_Penn,12,2,10,9.284842176,16.31203587,15.97668198,14.31447379,7.634743796,15.32106754,12.64000266,7.607415702,14.52351637,17.30291191,15.25554922,9.215463921,12.47667455,18.80726518,19.11014839,7.195958899,13.01581636,18.83713139,18.36649302,17.72747897,16.60579198,15.15252978,8.887766361,18.40591084,15.59804729,22.62022246,11.77242926,17.75510097,11.00345336,17.42149007,16.40095294,16.23304461,13.18512882,21.00701125,16.77859664,20.30489911,14.36045672,11.40971525,11.3136651,12.12082949,15.44718083,16.01379505,13.30974886,999,11.54320391,999,12.8274126,999,16.54948108,4.981602934,8.440637067,13.05231487,999,14.90011246,12.03205911,16.18510153,19.14686671,12.37935972,13.19705637,18.5677175,13.45551503,999,19.23606473,15.93257379,15.87062295,13.16656312,11.71266864,10.16540754,14.63923025,15.63375625,999,999,21.48016043,15.4774099,12.31086117,12.55712149,16.26449097,16.79870575,17.93662101
PT_Penn_12,PT_Penn,12,2,20,9.878366803,16.7826552,16.57885356,15.50797143,8.475589643,15.87822689,13.260991,8.329732383,15.48968083,18.03246943,16.22818095,9.957715181,13.09360049,19.55980246,19.63841488,7.918642604,13.75873708,18.68274701,19.09485199,18.02385353,17.93724161,15.93697689,9.525230659,19.30045537,16.52679697,23.44725502,12.49540316,18.07710726,11.6730691,17.26311085,17.0618948,16.98490607,13.99662287,22.45833903,17.22241314,21.45421385,15.11087602,12.0095502,12.06261662,12.86726255,16.29534105,16.82327644,13.90531321,999,12.09596418,999,13.4953467,999,16.68238643,5.450296225,9.261474432,13.83345838,999,15.58516131,12.64899334,16.93998364,19.91516597,13.23805594,13.90956542,19.52417907,14.44483723,999,20.32872962,16.67807711,16.33544516,13.99116147,12.24837081,10.94820017,15.27813708,16.37596118,999,999,21.17540548,16.08706301,13.01684847,13.09992539,16.50675671,17.24238338,18.10065651
PT_Penn_15,PT_Penn,15,2,5,10.53200637,19.10676332,999,999,7.350569186,15.19594091,14.21002878,8.987572003,13.81551324,999,15.08775891,10.04664984,13.6911094,999,999,6.961379964,13.65244139,17.50911687,18.52215023,17.37995025,16.19414468,15.43537824,9.48579769,999,999,21.70048165,13.24824412,14.96991523,11.75019882,16.39507017,15.01819947,16.83488121,14.65303339,999,17.96569019,17.88025319,14.5545269,11.75632461,12.61666365,14.36401568,14.71992108,17.12862816,14.23294835,999,13.49985646,999,12.70980162,15.96975288,19.24202211,6.021596754,9.210895394,14.6146382,999,16.53906421,13.54699113,14.02871858,999,14.78973721,16.08929427,19.30531408,15.29076162,18.57893922,18.1379699,999,15.46890442,14.92402621,13.2263217,11.2198097,15.06854314,17.50230677,999,999,999,15.61201978,13.79041208,14.03319865,16.1102519,17.71899371,19.10012752
PT_Penn_15,PT_Penn,15,2,10,11.37848973,19.65265323,999,999,8.438201918,16.16541636,15.02864738,9.869741036,14.75872986,999,15.9988587,10.89236009,14.64732156,999,999,7.858464771,14.68657651,17.94410686,20.10978058,18.8435799,17.06922546,16.15096151,10.28049422,999,999,22.48229947,13.93756901,15.85627205,12.72258581,17.18744342,16.05898857,17.88377704,15.3592027,999,18.6598343,18.63705961,15.51748723,12.7579244,13.52648228,15.07136468,15.64364916,17.44206871,14.9477741,999,14.52980519,999,13.64432121,16.90493713,20.37220524,6.94391794,10.04339452,15.45385937,999,17.59751582,14.28369396,14.92852852,999,15.74740639,16.87440815,19.34159711,16.18427493,20.12240933,19.54621266,999,16.15696231,16.00704158,14.30530097,12.07962789,16.24513684,18.01744651,999,999,999,16.42323774,14.62688767,14.84527446,17.30744927,18.08549619,21.23405108
PT_Penn_15,PT_Penn,15,2,20,12.28930932,20.089443,999,999,9.343974972,16.55015198,15.67362555,10.638852,15.3106761,999,16.83685976,11.773897,15.52306068,999,999,8.66218182,15.73643912,19.19301014,20.94909035,19.3001684,18.46104969,17.19420582,11.13187113,999,999,24.57349111,14.76653125,16.56249786,13.54943154,18.28980612,16.57216904,18.83405755,16.4758442,999,19.74636654,18.7698285,16.12174925,13.57499389,14.35740124,15.6423336,16.59929055,18.37153308,15.74332192,999,15.24360303,999,14.52193995,19.60018018,20.59340379,7.673094385,10.99698046,16.47789615,999,18.25370789,14.90127955,15.65777192,999,16.2710505,17.78537376,999,16.90290111,20.17966123,19.00749866,999,17.08010508,16.77856277,14.92914532,13.02507727,17.07396543,19.22679531,999,999,999,17.07058971,15.58422083,15.69767941,18.33483753,19.81363038,20.57187328
PT_Penn_17,PT_Penn,17,2,5,9.995018444,999,20.9991042,999,8.051913679,17.91030586,11.16128306,6.548089647,14.02213402,19.75740805,16.77285333,11.74837652,17.55570773,999,999,6.838205003,13.88053191,18.17809396,18.52572377,19.59032214,18.46961726,999,10.07390556,20.88225952,999,20.21406401,14.30604798,17.91087668,10.01367323,19.96704041,15.40628823,19.93065787,13.94666415,16.74459136,19.4093559,999,14.56462766,11.74634649,12.23450377,12.8745182,14.39611319,18.50563538,14.50406664,999,16.89605408,999,14.5634497,999,18.28187697,6.453376621,9.051647813,14.85939788,999,41.85679602,15.18451807,15.74687572,16.42443107,15.95678349,16.96176212,999,16.08516288,999,999,999,18.01768067,13.77188797,13.10780412,11.66276775,15.62939273,19.9871847,999,999,21.89701714,15.36844689,12.50675835,12.78856014,16.16079384,999,999
