"sample_id","plasma_mL"
"PT_Penn_25",0.75
"PT_Penn_1",0.75
"PT_Penn_21",0.75
"PT_Penn_18",0.75
"PT_Penn_28",0.75
"PT_Penn_17",0.75
"PT_Penn_20",0.75
"PT_Penn_23",0.75
"PT_Penn_24",0.75
"PT_Penn_5",0.75
"PT_Penn_10",0.75
"PT_Penn_12",0.75
"PT_Penn_15",0.75
"PT_Penn_4",0.75
"T_Penn_7",0.75
"T_Penn_11",0.75
"T_Penn_26",0.75
"T_Penn_6",0.75
"T_Penn_8",0.75
"T_Penn_9",0.75
"T_Penn_14",0.75
"T_Penn_19",0.75
"T_Penn_22",0.75
"T_Penn_2",0.75
"T_Penn_3",0.75
"T_Penn_13",0.75
"T_Penn_16",0.75
"T_Penn_27",0.75
"PT_UAB_1",1
"PT_UAB_2",1
"PT_UAB_3",1
"PT_UAB_4",1
"PT_UAB_5",1
"PT_UAB_6",1
"PT_UAB_7",1
"PT_UAB_8",1
"T_UAB_9",1
"T_UAB_10",1
"T_UAB_11",1
"T_UAB_12",1
"T_UAB_13",1
"T_UAB_14",1
"T_UAB_15",1
"T_UAB_16",1
"T_UAB_17",1
"T_UAB_18",1
"T_UAB_19",1
"T_UAB_20",1
"T_UAB_21",1
"T_UAB_22",1
"T_UAB_23",1
"T_UAB_24",1
"T_UAB_25",1
"T_UAB_26",1
"T_UAB_27",1
"T_UAB_28",1
"P6913_1",3
"P6913_2",3
"P6913_3",3
"P6913_4",3
"P6913_5",3
"P6913_6",3
"P6913_7",3
"P6913_8",3
"P6913_9",3
"P6913_10",3
"P6913_11",3
"P6913_12",3
"P6913_13",3
"P6913_14",3
"P6913_15",3
"P6913_16",3
"P6913_17",3
"P6913_18",3
"P6913_19",3
"P6913_20",3
"P6913_21",3
"P6913_22",3
"P6913_23",3
"P6913_24",3
"P6913_25",3
"P6913_26",3
"P9794_1",3
"P9794_2",3
"P9794_3",3
"P9794_4",3
"P9794_5",3
"P9794_6",3
"P9794_7",3
"P9794_8",3
"P9794_9",3
"P9794_10",3
"P9794_11",3
"P9794_12",3
"P9794_13",3
"P9794_14",3
"P9794_15",3
"P9794_16",3
"P9794_17",3
"P9794_18",3
"P9794_19",3
"P9794_20",3
"P9794_21",3
"P9794_22",3
