x,y
1,22.63231
514.51251,12.51857
1028.02503,11.39727
1541.53754,10.74096
2055.05005,10.27519
2568.56256,9.91387
3082.07508,9.61862
3595.58759,9.36898
4109.1001,9.15272
4622.61261,8.96196
5136.12513,8.79131
5649.63764,8.63694
6163.15015,8.49601
6676.66266,8.36637
7190.17518,8.24633
7703.68769,8.13458
8217.2002,8.03005
8730.71271,7.93185
9244.22523,7.83927
9757.73774,7.75169
10271.25025,7.6686
10784.76276,7.58957
11298.27528,7.51422
11811.78779,7.44222
12325.3003,7.37328
12838.81281,7.30715
13352.32533,7.24362
13865.83784,7.18249
14379.35035,7.12358
14892.86286,7.06674
15406.37538,7.01182
15919.88789,6.95871
16433.4004,6.90728
16946.91291,6.85743
17460.42543,6.80907
17973.93794,6.76212
18487.45045,6.71648
19000.96296,6.6721
19514.47548,6.6289
20027.98799,6.58683
20541.5005,6.54581
21055.01301,6.50582
21568.52553,6.46678
22082.03804,6.42866
22595.55055,6.39142
23109.06306,6.35502
23622.57558,6.31942
24136.08809,6.28458
24649.6006,6.25047
25163.11311,6.21707
25676.62563,6.18435
26190.13814,6.15227
26703.65065,6.12081
27217.16316,6.08996
27730.67568,6.05968
28244.18819,6.02995
28757.7007,6.00077
29271.21321,5.97209
29784.72573,5.94392
30298.23824,5.91623
30811.75075,5.889
31325.26326,5.86223
31838.77578,5.83589
32352.28829,5.80997
32865.8008,5.78446
33379.31331,5.75934
33892.82583,5.73461
34406.33834,5.71025
34919.85085,5.68625
35433.36336,5.6626
35946.87588,5.63929
36460.38839,5.61632
36973.9009,5.59366
37487.41341,5.57132
38000.92593,5.54928
38514.43844,5.52753
39027.95095,5.50608
39541.46346,5.4849
40054.97598,5.464
40568.48849,5.44336
41082.001,5.42299
41595.51351,5.40286
42109.02603,5.38299
42622.53854,5.36335
43136.05105,5.34395
43649.56356,5.32478
44163.07608,5.30583
44676.58859,5.2871
45190.1011,5.26859
45703.61361,5.25029
46217.12613,5.23219
46730.63864,5.21429
47244.15115,5.19658
47757.66366,5.17907
48271.17618,5.16174
48784.68869,5.1446
49298.2012,5.12764
49811.71371,5.11085
50325.22623,5.09424
50838.73874,5.07779
51352.25125,5.06151
51865.76376,5.04539
52379.27628,5.02943
52892.78879,5.01363
53406.3013,4.99798
53919.81381,4.98247
54433.32633,4.96712
54946.83884,4.95191
55460.35135,4.93684
55973.86386,4.92191
56487.37638,4.90711
57000.88889,4.89245
57514.4014,4.87793
58027.91391,4.86353
58541.42643,4.84925
59054.93894,4.83511
59568.45145,4.82108
60081.96396,4.80718
60595.47648,4.79339
61108.98899,4.77972
61622.5015,4.76616
62136.01401,4.75272
62649.52653,4.73939
63163.03904,4.72616
63676.55155,4.71305
64190.06406,4.70003
64703.57658,4.68713
65217.08909,4.67432
65730.6016,4.66161
66244.11411,4.64901
66757.62663,4.6365
67271.13914,4.62409
67784.65165,4.61177
68298.16416,4.59954
68811.67668,4.58741
69325.18919,4.57536
69838.7017,4.56341
70352.21421,4.55154
70865.72673,4.53976
71379.23924,4.52806
71892.75175,4.51645
72406.26426,4.50492
72919.77678,4.49347
73433.28929,4.4821
73946.8018,4.47081
74460.31431,4.4596
74973.82683,4.44847
75487.33934,4.43741
76000.85185,4.42643
76514.36436,4.41552
77027.87688,4.40468
77541.38939,4.39392
78054.9019,4.38323
78568.41441,4.37261
79081.92693,4.36205
79595.43944,4.35157
80108.95195,4.34115
80622.46446,4.3308
81135.97698,4.32051
81649.48949,4.31029
82163.002,4.30014
82676.51451,4.29004
83190.02703,4.28001
83703.53954,4.27004
84217.05205,4.26014
84730.56456,4.25029
85244.07708,4.2405
85757.58959,4.23077
86271.1021,4.2211
86784.61461,4.21149
87298.12713,4.20193
87811.63964,4.19243
88325.15215,4.18298
88838.66466,4.17359
89352.17718,4.16425
89865.68969,4.15497
90379.2022,4.14574
90892.71471,4.13656
91406.22723,4.12744
91919.73974,4.11836
92433.25225,4.10934
92946.76476,4.10036
93460.27728,4.09144
93973.78979,4.08256
94487.3023,4.07373
95000.81481,4.06495
95514.32733,4.05622
96027.83984,4.04753
96541.35235,4.03889
97054.86486,4.0303
97568.37738,4.02175
98081.88989,4.01325
98595.4024,4.00479
99108.91491,3.99637
99622.42743,3.988
100135.9399,3.97967
100649.4525,3.97138
101162.965,3.96314
101676.4775,3.95494
102189.99,3.94678
102703.5025,3.93866
103217.015,3.93058
103730.5275,3.92254
104244.04,3.91454
104757.5526,3.90658
105271.0651,3.89866
105784.5776,3.89077
106298.0901,3.88293
106811.6026,3.87512
107325.1151,3.86735
107838.6276,3.85962
108352.1401,3.85192
108865.6527,3.84427
109379.1652,3.83664
109892.6777,3.82905
110406.1902,3.8215
110919.7027,3.81399
111433.2152,3.8065
111946.7277,3.79905
112460.2402,3.79164
112973.7528,3.78426
113487.2653,3.77691
114000.7778,3.7696
114514.2903,3.76232
115027.8028,3.75507
115541.3153,3.74786
116054.8278,3.74067
116568.3403,3.73352
117081.8529,3.7264
117595.3654,3.71931
118108.8779,3.71225
118622.3904,3.70522
119135.9029,3.69823
119649.4154,3.69126
120162.9279,3.68432
120676.4404,3.67741
121189.953,3.67053
121703.4655,3.66368
122216.978,3.65686
122730.4905,3.65007
123244.003,3.64331
123757.5155,3.63657
124271.028,3.62986
124784.5405,3.62318
125298.0531,3.61653
125811.5656,3.60991
126325.0781,3.60331
126838.5906,3.59673
127352.1031,3.59019
127865.6156,3.58367
128379.1281,3.57718
128892.6406,3.57071
129406.1532,3.56427
129919.6657,3.55785
130433.1782,3.55146
130946.6907,3.5451
131460.2032,3.53876
131973.7157,3.53244
132487.2282,3.52615
133000.7407,3.51989
133514.2533,3.51364
134027.7658,3.50742
134541.2783,3.50123
135054.7908,3.49506
135568.3033,3.48891
136081.8158,3.48279
136595.3283,3.47668
137108.8408,3.47061
137622.3534,3.46455
138135.8659,3.45852
138649.3784,3.45251
139162.8909,3.44652
139676.4034,3.44055
140189.9159,3.43461
140703.4284,3.42868
141216.9409,3.42278
141730.4535,3.4169
142243.966,3.41104
142757.4785,3.4052
143270.991,3.39939
143784.5035,3.39359
144298.016,3.38782
144811.5285,3.38206
145325.041,3.37633
145838.5536,3.37061
146352.0661,3.36492
146865.5786,3.35925
147379.0911,3.35359
147892.6036,3.34796
148406.1161,3.34234
148919.6286,3.33675
149433.1411,3.33117
149946.6537,3.32561
150460.1662,3.32007
150973.6787,3.31455
151487.1912,3.30905
152000.7037,3.30357
152514.2162,3.29811
153027.7287,3.29266
153541.2412,3.28724
154054.7538,3.28183
154568.2663,3.27644
155081.7788,3.27106
155595.2913,3.26571
156108.8038,3.26037
156622.3163,3.25505
157135.8288,3.24975
157649.3413,3.24446
158162.8539,3.23919
158676.3664,3.23394
159189.8789,3.22871
159703.3914,3.22349
160216.9039,3.21829
160730.4164,3.21311
161243.9289,3.20794
161757.4414,3.20279
162270.954,3.19765
162784.4665,3.19254
163297.979,3.18743
163811.4915,3.18235
164325.004,3.17728
164838.5165,3.17222
165352.029,3.16718
165865.5415,3.16216
166379.0541,3.15715
166892.5666,3.15216
167406.0791,3.14719
167919.5916,3.14222
168433.1041,3.13728
168946.6166,3.13235
169460.1291,3.12743
169973.6416,3.12253
170487.1542,3.11764
171000.6667,3.11277
171514.1792,3.10791
172027.6917,3.10307
172541.2042,3.09824
173054.7167,3.09343
173568.2292,3.08863
174081.7417,3.08384
174595.2543,3.07907
175108.7668,3.07431
175622.2793,3.06957
176135.7918,3.06484
176649.3043,3.06012
177162.8168,3.05542
177676.3293,3.05073
178189.8418,3.04606
178703.3544,3.04139
179216.8669,3.03675
179730.3794,3.03211
180243.8919,3.02749
180757.4044,3.02288
181270.9169,3.01828
181784.4294,3.0137
182297.9419,3.00913
182811.4545,3.00458
183324.967,3.00003
183838.4795,2.9955
184351.992,2.99098
184865.5045,2.98648
185379.017,2.98198
185892.5295,2.9775
186406.042,2.97303
186919.5546,2.96858
187433.0671,2.96413
187946.5796,2.9597
188460.0921,2.95528
188973.6046,2.95087
189487.1171,2.94647
190000.6296,2.94209
190514.1421,2.93772
191027.6547,2.93336
191541.1672,2.92901
192054.6797,2.92467
192568.1922,2.92035
193081.7047,2.91603
193595.2172,2.91173
194108.7297,2.90744
194622.2422,2.90316
195135.7548,2.89889
195649.2673,2.89463
196162.7798,2.89039
196676.2923,2.88615
197189.8048,2.88193
197703.3173,2.87771
