external_gene_name,T_Penn_3,T_Penn_6,T_Penn_8,T_Penn_9,T_Penn_14,T_Penn_16,T_Penn_27,PT_Penn_15,PT_Penn_17,PT_Penn_18,PT_Penn_24,PT_Penn_25,PT_Penn_28,PT_Penn_4,PT_Penn_10
RP11-460H9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2orf76,0,5,0,2,0,7,0,0,0,1,0,1,0,1,9
ACTL10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP135,2,52,16,31,9,61,1,13,24,29,1,27,1,2,139
AC005609.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-613M10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDUFB5P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIIP,0,15,8,16,13,7,2,1,3,4,1,32,0,0,34
RP11-578O24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRSS3P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-98I9.4,0,1,0,2,1,3,0,0,0,0,0,0,0,0,16
C20orf144,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
RP11-485G7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC86,1,1,1,5,3,3,0,1,12,7,0,3,0,1,20
AC004076.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIM6,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0
SBF1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-628E19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NKD1,0,0,2,0,0,3,0,0,1,0,1,0,0,0,4
AL772307.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNL3,4,30,25,42,16,56,0,29,11,19,2,12,0,0,104
ERICH6,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0
RP11-255A11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRGAP3-AS4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-201O14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-778D9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-362A9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL31P59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-209M4.1,1,6,2,0,0,2,0,0,0,0,0,1,0,0,1
RP11-999E24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM9SF1,0,0,0,0,0,1,3,0,0,1,0,3,0,0,3
CEP70,14,47,20,40,13,40,5,27,48,47,5,39,0,4,255
FAM187B2P,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
RP11-416O18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-306O13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A6P3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
RP11-462G12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF225,3,1,5,3,5,1,0,1,0,1,0,4,0,0,13
